symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,82270.83,9613423806.36812,19903403.00000000,2025-08-08 21:00:00+00:00
BTCUSDT,82334.554,9623509675.182,19903403.00000000,2025-08-08 22:00:00+00:00
BTCUSDT,82320.749,9618377759.429855,19903403.00000000,2025-08-08 23:00:00+00:00
BTCUSDT,82228.761,9590192383.6602,19903403.00000000,2025-08-09 00:00:00+00:00
BTCUSDT,82098.743,9568017385.7004,19903403.00000000,2025-08-09 01:00:00+00:00
BTCUSDT,82053.265,9560600278.005,19903837.00000000,2025-08-09 02:00:00+00:00
BTCUSDT,82042.833,9546346824.050934,19903837.00000000,2025-08-09 03:00:00+00:00
BTCUSDT,82166.328,9558536188.25925,19903837.00000000,2025-08-09 04:00:00+00:00
BTCUSDT,82596.761,9613057307.564436,19903837.00000000,2025-08-09 05:00:00+00:00
BTCUSDT,83035.615,9688982614.997686,19903837.00000000,2025-08-09 06:00:00+00:00
BTCUSDT,83015.676,9679744043.5464,19903837.00000000,2025-08-09 07:00:00+00:00
BTCUSDT,83115.814,9699881464.4048,19903837.00000000,2025-08-09 08:00:00+00:00
BTCUSDT,83456.09,9770162728.255,19903837.00000000,2025-08-09 09:00:00+00:00
BTCUSDT,83876.019,9853192742.792702,19903837.00000000,2025-08-09 10:00:00+00:00
BTCUSDT,83993.573,9858762353.995384,19903837.00000000,2025-08-09 11:00:00+00:00
BTCUSDT,83461.083,9770371681.395,19903837.00000000,2025-08-09 12:00:00+00:00
BTCUSDT,83621.498,9788490053.5358,19903837.00000000,2025-08-09 13:00:00+00:00
BTCUSDT,83694.067,9785195910.251257,19903837.00000000,2025-08-09 14:00:00+00:00
BTCUSDT,84121.283,9835797217.008154,19903837.00000000,2025-08-09 15:00:00+00:00
BTCUSDT,83763.221,9786781683.628788,19903837.00000000,2025-08-09 16:00:00+00:00
BTCUSDT,83819.761,9773115909.3648,19903837.00000000,2025-08-09 17:00:00+00:00
BTCUSDT,83833.381,9777329724.763779,19903837.00000000,2025-08-09 18:00:00+00:00
BTCUSDT,83882.562,9779020689.7038,19903837.00000000,2025-08-09 19:00:00+00:00
BTCUSDT,83921.997,9776912650.5,19903837.00000000,2025-08-09 20:00:00+00:00
BTCUSDT,84180.642,9827578149.062033,19903837.00000000,2025-08-09 21:00:00+00:00
BTCUSDT,84034.137,9788220647.036701,19903837.00000000,2025-08-09 22:00:00+00:00
